rank,Video,Video views,Likes,Dislikes,Category,published
1,Rehber Yazılım - İleri Seviye Python Programlama Kursu,"54,071,677","3,497,955","78,799",Software,2025
2,"20 Tennis shots if they were not filmed, NOBODY would believe them","3,471,237","19,023",859,,2017
3,JoJo Siwa - Karma (Official Video),"34,206,747","293,563",,Music,2024
4,David Kushner - Daylight (Official Music Video),"18,558,390","680,732",,Music,2023
5,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"6,547,981,039","44,428,537",,Music,2015
6,JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,"76,834,495","804,353","21,195",Music,2019
7,JENNIE - ZEN (RUBY ALBUM MARCH 7),"8,306,465","1,261,577",,Music,2025
8,"Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)","7,396,199","320,910","6,485",Music,2020
9,"Yovie Widianto, Lyodra, Tiara Andini, Ziva Magnolya - Menyesal","13,894,905","452,087",,Music,2023
10,JD Pantoja - 12•19 (Official Video),"7,010,732","1,027,392","34,185",Music,2020
11,Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster,"96,686","1,007",82,Entertainment,2018
12,Rels B - LA LATINA (Videoclip Oficial),"5,851,411","155,543","3,504",Music,2019
13,"Luck Ra, Nicki Nicole - DOCTOR","8,286,096","149,421",,Music,2024
14,"Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)","6,953,838","116,350","2,059",Music,2021
15,Polo G - Flex (Official Audio) ft. Juice WRLD,"3,845,186","122,706","1,305",Music,2020
16,"Kevin AMF, Tiagz - Maradona (Tatara) (Video Oficial)","5,756,535","111,266",,Music,2024
17,LILHUDDY - America's Sweetheart (Official Music Video),"3,086,667","346,074","12,082",Music,2021
18,MILLION DOLLAR BABY,"11,894,076","226,375",,Music,2024
19,Every Moment With You (너와의 모든 지금),"7,958,181","54,903",,Music,2024
20,Jay Wheeler - Te La Dedico / For You (Official Video),"13,764,098","111,497",,Music,2023
21,KATSEYE - Touch (ft. YEONJUN of TOMORROW X TOGETHER),"2,279,833","168,798",,Music,2024
22,"Ghetto Kids, Kenia OS, Malo - Toketeo (Video Oficial)","1,677,733","211,037","7,579",Music,2021
23,Polo G - Be Something (Official Audio) ft. Lil Baby,"2,692,740","99,982","2,393",Music,2020
